sample,input,lowpass,64_125,125_250,250_500,500_1k,1k_2k,2k_4k,4k_8k,8k_16k,highpass
380,1697668,-1748017,-1747062,-1741754,-1722590,-1643154,-1313600,-611612,-1183380,-491526,-135950
381,7011654,-2083010,-2081776,-2079902,-2073386,-2034278,-1757059,-452711,1036117,929993,-719494
382,3838604,-2367026,-2368180,-2369504,-2371526,-2369094,-2154649,-342223,2466591,1228885,1132716
383,4750736,-2469053,-2472541,-2482749,-2519180,-2628879,-2584232,-350481,2166632,-1070422,-968533
384,-1392361,-2538072,-2542918,-2557477,-2615866,-2795161,-2886900,-600933,603098,-991642,429179
385,2974058,-2571125,-2576312,-2591572,-2652056,-2848348,-3038416,-1061035,-950712,1116185,161859
386,8083332,-2464055,-2469850,-2487457,-2555463,-2780910,-3099468,-1584128,-1506269,243665,-575542
387,6012074,-2231356,-2236881,-2257206,-2333197,-2590365,-3038077,-2036165,-1007718,-1192919,758406
388,7278460,-1913148,-1918358,-1938252,-2013610,-2273705,-2811314,-2295036,-152642,81359,-681189
389,5374560,-1393397,-1401060,-1424910,-1518282,-1838995,-2515459,-2223170,318616,1249138,263238
390,4869562,-839817,-846826,-871263,-967408,-1300533,-2030618,-1871002,289175,369282,524631
391,-6201205,-194972,-202937,-228240,-327682,-671289,-1429483,-1269817,51993,-1217882,-1480594
392,1965734,458349,452169,429212,341857,33497,-684516,-561864,-68983,-1166313,2180219
393,-8184283,1068040,1063469,1049572,995885,791910,199707,100668,-40373,1089214,-2183684
394,361266,1892263,1887789,1871691,1808844,1579310,950229,717161,-52951,1578522,1400655
395,328866,2554592,2552159,2543323,2508048,2364689,1825706,1062615,1159,-821198,-213024
396,-7373751,3297942,3294876,3286351,3253708,3118466,2567850,1242730,213517,-1137241,-815415
397,6598676,3959312,3958268,3951392,3922804,3805890,3256013,1259891,610959,289228,1280816
398,-3555267,4356999,4357875,4362149,4376318,4394361,3998724,1150036,864157,25631,-1215772
399,-916661,4840316,4842621,4844961,4852887,4856630,4450353,1200862,414425,374350,928888
400,6828124,5092388,5095016,5100352,5122076,5169242,4840075,1373654,-674239,1004995,-690019
401,-7310009,5226598,5228977,5235226,5259472,5318011,5043074,1742027,-1756793,-831683,522797
402,4102022,5309887,5311852,5312893,5313647,5303390,4978047,2269070,-1917800,-1231203,-317983
403,-5277127,5126718,5126345,5128067,5133883,5130800,4825380,2701156,-730448,885425,25868
404,363188,4974395,4973469,4965483,4934087,4812373,4344382,2969408,1113190,631058,219557
405,5367248,4569133,4566188,4556506,4519902,4372286,3811302,2773808,2490328,-671870,-293430
406,2248748,4121064,4116585,4102936,4048897,3837283,3100944,2124995,2465536,74809,256343
407,8144268,3735084,3728694,3703336,3603988,3240650,2195271,1118659,1088848,468250,-392009
408,-1460473,3204952,3195160,3165427,3048020,2613911,1347941,-155200,-677031,-193398,900180
409,2244714,2817446,2806303,2762916,2594376,1993250,399202,-1317795,-1881207,-464913,-1654296
410,-6948591,2231963,2219388,2176963,2011849,1410586,-279728,-2274906,-1972015,-206309,2161365
411,7012328,1794187,1781788,1735139,1554660,898910,-915182,-2717638,-1285427,560576,-1897993
412,-1597877,1383345,1368788,1321968,1139879,477623,-1343050,-2688063,-372828,380121,720357
413,-1801869,1099608,1086108,1037742,848873,166524,-1620270,-2253739,335875,-423933,904283
414,2710508,858013,844285,798337,620086,-22917,-1658099,-1648402,819095,-9010,-2166436
415,-129757,646663,633276,595280,445507,-96075,-1459771,-1074236,1163524,36619,2355653
416,978852,580431,572406,538655,407082,-59094,-1164124,-601563,1242061,-553830,-1324401
417,-2005559,549213,539576,514280,416033,69320,-720214,-306082,809606,189017,-419291
418,-5831623,648263,643672,621805,541049,265042,-284203,-74424,-240891,727533,2004461
419,-8162593,738296,734445,721184,668392,496891,207495,128156,-1415081,41550,-2712537
420,5772500,778571,777945,775312,765451,739500,724746,367061,-1891326,-408576,2336525
421,-8166041,822423,824749,832435,860427,959892,1174261,679157,-1176664,-432692,-1240246
422,-6274659,960917,964347,973266,1009310,1139360,1442425,1056552,367715,-44555,58811
423,3220912,923025,928163,946123,1016024,1254544,1728820,1302523,1775924,275210,727466
424,1063298,833829,840532,865669,962702,1289623,1909286,1400265,2060993,409891,-1041765
425,-2965687,855540,862960,883620,961467,1236299,1829098,1406112,1036734,574765,1167971
426,-4646183,690317,695192,716808,801761,1096171,1737989,1226009,-501221,-757977,-1418180
427,46880,514367,520632,538985,611263,869602,1485016,1010231,-1607030,-1365087,1809029
428,347164,185066,192181,212243,289331,563251,1203955,764655,-1663000,1050695,-2012725
429,-5148781,-146018,-141874,-123853,-54156,194068,788168,587137,-825638,1379667,1665897
430,-4955677,-435110,-431061,-420582,-379681,-224611,230730,474771,300982,-943680,-774553
431,4948522,-933432,-929954,-916656,-861421,-672434,-210709,253578,1173481,-800805,-190919
432,7469256,-1341554,-1338881,-1327107,-1284338,-1132759,-746569,-10046,1386164,171349,655342
433,-2675107,-1679786,-1678307,-1673064,-1654788,-1582657,-1312270,-356714,948676,506025,-464305
434,4169018,-2062144,-2062271,-2059219,-2046993,-1998729,-1772707,-801293,141393,969279,55783
435,2533764,-2367566,-2366989,-2368509,-2369417,-2363885,-2193873,-1210934,-698152,-1031618,-42165
436,-5658581,-2654960,-2655760,-2656675,-2661896,-2665235,-2497664,-1511240,-1191436,-1718044,642755
437,-7504071,-2789197,-2791198,-2797176,-2821405,-2883148,-2782529,-1570815,-1172910,2030891,-1439093
438,8330258,-2961361,-2963470,-2967392,-2981036,-3015176,-2868736,-1477244,-649703,1557755,1757264
439,8323154,-3110268,-3108712,-3107094,-3097600,-3057351,-2803332,-1272727,118660,-2694745,-1267554
440,-8091303,-2997493,-2998929,-3000148,-3005432,-3007709,-2781382,-964241,789510,-768861,272370
441,2856656,-2889103,-2889736,-2888954,-2887733,-2867500,-2592178,-753830,1200504,2701552,568841
442,5892718,-2783672,-2782394,-2775801,-2749787,-2651451,-2250031,-678558,1188477,115619,-770163
443,-710249,-2550277,-2548022,-2539507,-2505619,-2374284,-1897284,-640591,625201,-2487494,408116
444,-7632933,-2149719,-2148002,-2144193,-2127968,-2045943,-1599130,-537820,-422459,-23198,52113
445,5404582,-1907278,-1904707,-1893854,-1849939,-1682591,-1113469,-427678,-1469185,2524599,-182372
446,-8006725,-1617414,-1611981,-1595953,-1532931,-1302517,-653073,-178736,-1897784,259171,-30456
447,7961600,-1182865,-1178837,-1165323,-1115263,-922869,-326200,222926,-1230497,-2702899,249147
448,-1815537,-934106,-929021,-909247,-831526,-557613,119636,554844,418549,-130118,-162219
449,-1517975,-525248,-521049,-505156,-442855,-220453,371688,867900,1992027,2528999,-196904
450,5464588,-267329,-260941,-242700,-171726,79580,672062,963696,2434241,-930049,544735
451,-5760679,-19754,-15395,3895,77337,331439,894804,893190,1305042,-1691627,-664622
452,-177723,282057,286683,299571,351128,533507,965776,747587,-692328,2734686,627709
453,-2673201,461481,464585,476450,521047,679894,1038715,536064,-2172167,408363,-613341
454,3794320,517079,521705,535494,590096,776317,1114287,343529,-2183290,-4370467,612746
455,-1779631,636987,640351,650844,690310,822850,1039244,291981,-879823,973367,-400833
456,-416663,764498,765927,768723,781525,822961,876551,339103,770430,4775636,-160671
457,-8139401,708493,708991,713690,729774,781238,803436,346604,1769496,-2046447,812261
458,2319690,649321,650522,654206,668792,708779,683158,327761,1642858,-3665535,-1065381
459,3627224,518306,519886,525652,547473,607145,592146,211947,683419,2296339,727496
460,-2273893,475895,475539,476833,480190,484322,408434,72705,-520252,1899162,-221658
461,957124,368345,368899,367967,364189,349346,265700,-103186,-1325459,-1564666,265332
462,7909816,183279,183805,184882,191433,207381,184547,-256030,-1363538,-600887,-1169875
463,-1641801,79774,80093,78724,74743,60874,28090,-261880,-673042,443403,2429462
464,7925382,58598,55304,47835,13855,-86264,-200501,-113495,332319,224283,-3093180
465,5069360,-127745,-129519,-135719,-157409,-224904,-288439,32576,1053078,62215,2543810
466,-1223817,-218298,-218966,-226715,-254971,-347959,-448243,200972,972168,-384931,-996803
467,-2701387,-199581,-204221,-218278,-270196,-440463,-672795,296455,235488,324779,-682770
468,1439188,-264094,-269508,-281059,-331116,-498081,-781837,164523,-450543,612845,1670887
469,-7895289,-283068,-284792,-296723,-341517,-502878,-862187,-154960,-517368,-833136,-1702835
470,759670,-131028,-137481,-154367,-219092,-451964,-991722,-564088,-4064,-909004,1153351
471,-6181399,-2286,-7569,-26084,-95100,-345062,-989949,-1050646,540911,646734,-679464
472,-1930357,96521,92677,79142,22460,-187843,-832088,-1490693,554913,1500406,688669
473,-893183,131586,130581,125817,107734,17131,-495285,-1756442,32797,7895,-1082230
474,-8352805,365374,362330,357336,336478,243981,-211260,-1630148,-631328,-2178921,1357135
475,7750272,477711,479798,480182,481469,473818,248365,-1188358,-916674,-296435,-1081989
476,1941442,451124,454247,467893,520096,684665,850635,-458633,-755928,2256925,322318
477,-1254715,587238,592334,606556,661455,855918,1264520,596009,-455011,-107613,352406
478,2619952,681600,686665,700585,756035,966312,1594921,1713441,-123548,-1266328,-356878
479,-5053265,576284,581201,602718,687853,1000267,1910690,2612522,316977,631744,-363951
480,186982,605947,612211,629014,692930,950746,1879660,3229509,813440,-280238,1242387
481,-280145,374060,379340,402214,489825,816506,1823573,3232227,1258098,-698760,-1555228
482,-2593047,253786,259361,276387,346405,607351,1435768,2727029,1205311,1358479,1068664
483,4304888,95429,99369,111226,158205,333932,891267,1711263,590059,334930,-215815
484,7777286,-183615,-180814,-169693,-127084,19314,327345,337317,-218058,-1372737,-270046
485,-8030481,-306191,-306718,-306189,-307488,-314511,-407936,-1010562,-768783,86800,-38499
486,-1099807,-457453,-458886,-468392,-504492,-639284,-1077088,-2132093,-813321,714628,949720
