sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
302,2459054,4125092,4138272,4143161,4197073,4291182,3989933,3837871,-7130320,12513614,2605058
303,-5829897,2596908,2587778,2583018,2570155,2402780,1003546,-1147512,-7749406,10408945,-4953288
304,5795468,2023657,2009775,1936604,1645852,580865,-2606509,-5865147,-4860678,-10396869,9001222
305,-2175052,642771,608382,529541,189408,-1073956,-5018018,-10074069,758975,-2548145,-11550366
306,-3312343,-274987,-306850,-425847,-865772,-2485726,-7064903,-12394176,5970442,3459883,9843272
307,4944948,-1399419,-1433779,-1547228,-2000531,-3618316,-8020795,-12680074,6718730,-7713052,-4212493
308,4236349,-2462876,-2484677,-2587837,-2976095,-4365977,-8070002,-10841859,753456,4976316,-1861415
309,-978520,-3596942,-3617588,-3674874,-3900561,-4758618,-7136599,-7444274,-8327676,15728585,4639672
310,-2615681,-3908717,-3923058,-3970426,-4153222,-4802229,-6153298,-2919497,-12836830,-7883040,-3253621
311,-3543397,-3667770,-3687945,-3736210,-3937880,-4565929,-5071965,1600174,-7313428,-18902927,530497
312,1072920,-3977417,-3981995,-3992344,-4018699,-4061434,-3218378,4704491,5528180,2187907,-507626
313,6413927,-2671740,-2679246,-2726352,-2896415,-3359222,-2644882,6673458,15535220,17408643,4572223
314,4793371,-2263737,-2273034,-2295679,-2378738,-2538626,-1400588,6245144,15415024,5993427,-10106883
315,-1033794,-1630720,-1637364,-1642895,-1671559,-1662028,-527076,4256020,5431150,-11991115,12420227
316,2755224,-911601,-902834,-897029,-880309,-761852,57025,1429971,-6609540,-8400208,-8228142
317,563542,540100,526719,502869,420361,165968,-100102,-1092255,-13153132,3250207,-1307870
318,4115436,2030391,2022644,1971897,1775335,1114403,-345255,-2898869,-11932426,3232557,11158816
319,-7013280,2681114,2681738,2652932,2552056,2111362,227127,-4080988,-5443216,7527267,-15673579
320,-5448507,3452075,3437836,3432423,3403104,3141657,933605,-4324866,2419301,3982379,12541896
321,3478800,5456850,5444545,5385955,5143821,4216559,891010,-3468472,8712831,-15782381,-4521667
322,-4046963,5855655,5839662,5821974,5743772,5301912,2566196,-3080039,11729310,-8465240,-2847900
