sample,input,lowpass,band_64_125,band_125_250,band_250_500,band_500_1k,band_1k_2k,band_2k_4k,band_4k_8k,band_8k_16k,highpass
106,4194304,67807232,67655680,67115008,65003520,57200640,33908736,2623488,14336,47104,-75776
107,4194304,68743168,68581376,68012032,65789952,57591808,33363968,2498560,-26624,6144,-4096
108,4194304,69423104,69255168,68661248,66342912,57815040,32888832,2580480,0,32768,-6144
109,4194304,69914624,69740544,69126144,66727936,57929728,32505856,2734080,20480,-18432,-38912
110,4194304,70289408,70109184,69476352,67008512,57980928,32194560,2891776,-6144,-67584,-18432
111,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
112,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
113,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
114,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
115,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
116,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
117,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
118,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
119,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
120,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
121,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
122,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
123,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
124,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
125,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
126,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
127,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
128,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
129,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
130,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
131,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
132,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
133,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
134,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
135,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
136,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
137,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
138,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
139,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
140,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
141,4194304,70623232,70438912,69787648,67248128,57995264,31911936,3039232,-73728,-28672,-18432
